name,smiles,p_crbn_binder,predicted_active
cand_212,COc1c(C(F)(F)F)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.91,1
cand_213,COc1ccc2c(c1S(N)(=O)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,1
cand_214,COc1ccc(C)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.895,1
cand_215,Nc1ccc(F)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.885,1
cand_216,CNc1cc(NC)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,1
cand_217,N#Cc1cc([N+](=O)[O-])cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,1
cand_218,CCc1ccc(Cl)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.855,1
cand_219,CN(C)c1ccc(S(N)(=O)=O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.885,1
cand_220,O=C1CCC(N2C(=O)c3ccc(O)c(F)c3C2=O)C(=O)N1,0.975,1
cand_221,Cc1cc2c(cc1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,1
cand_222,CN(C)c1cc([N+](=O)[O-])cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,1
cand_223,CCc1ccc2c(c1Cl)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,1
cand_224,N#Cc1c(O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.995,1
cand_225,CCc1cc2c(cc1CC)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,1
cand_226,CCc1ccc2c(c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,1
cand_227,CN(C)c1cc2c(c(S(N)(=O)=O)c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,1
cand_228,O=C1CCC(N2C(=O)c3cc(I)cc(Cl)c3C2=O)C(=O)N1,0.95,1
cand_229,CNc1cc2c(cc1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,1
cand_230,Nc1ccc(S(N)(=O)=O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.885,1
cand_231,O=C1CCC(N2C(=O)c3ccc(F)c(C(=O)O)c3C2=O)C(=O)N1,0.955,1
cand_232,NC(=O)c1ccc(C(F)(F)F)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.86,1
cand_233,O=C1CCC(N2C(=O)c3cc(Br)cc(Cl)c3C2=O)C(=O)N1,0.955,1
cand_234,NS(=O)(=O)c1cc(C(=O)O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.91,1
cand_235,CCc1ccc2c(c1C(=O)O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,1
cand_236,NC(=O)c1ccc(F)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.86,1
cand_237,O=C1CCC(N2C(=O)c3c(Cl)ccc(C(=O)O)c3C2=O)C(=O)N1,0.845,1
cand_238,N#Cc1cc(N)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,1
cand_239,COc1cc(C#N)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,1
cand_240,NC(=O)c1ccc2c(c1C(N)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,1
cand_241,Cc1ccc(C)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.895,1
cand_242,CNc1cc(I)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,1
cand_243,Nc1cc2c(cc1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,1
cand_244,Nc1ccc2c(c1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,1
